match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes,hub_dependence,cohesion_optimized
122876,VfL Wolfsburg,Borussia Dortmund,0,1,loss,0,0.5112894047591593,0.2535101609754257,1.0,0.6131386861313868,0.1785087719298245,16,95,0.3958333333333333,0.2922581254724112,Lovro Majer,10,401,0.3868613138686132,0.4526351547609873
122877,TSG 1899 Hoffenheim,1. FC Union Berlin,2,0,win,3,0.5154204121068237,0.2740291502133972,0.8476027397260275,0.6102311643835616,0.3298185941043083,16,105,0.4375,0.2347222222222222,Mergim Berisha,13,434,0.3897688356164384,0.4403624447911021
122877,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2,loss,0,0.5561611814208901,0.3336443855770868,0.7820197044334976,0.6488608374384237,0.4601197982345524,16,122,0.5083333333333333,0.1489002267573696,Janik Haberer,25,542,0.3511391625615763,0.4610099731046095
122878,Borussia Mönchengladbach,RasenBallsport Leipzig,0,1,loss,0,0.5060742643198779,0.3013962705330311,0.701058201058201,0.6615410052910053,0.3603015803972742,16,121,0.5041666666666667,0.1499338624338624,Julian Weigl,18,500,0.33845899470899465,0.4127616927771424
122878,RasenBallsport Leipzig,Borussia Mönchengladbach,1,0,win,3,0.5383523292043559,0.3344043585122626,1.0,0.5787271805273834,0.2402777777777777,16,120,0.5,0.1770947438804581,Benjamin Henrichs,13,614,0.42127281947261663,0.5044208799548016
122879,1. FSV Mainz 05,FC Augsburg,1,2,loss,0,0.4999667002435807,0.3519640806795161,0.670045045045045,0.6739864864864865,0.3038711887632751,16,139,0.5791666666666667,0.2701587301587302,Jae-sung Lee,20,603,0.3260135135135135,0.4227824475043738
122879,FC Augsburg,1. FSV Mainz 05,2,1,win,3,0.4683721502523089,0.2500056046654621,0.7971014492753623,0.5661231884057971,0.260258358662614,16,94,0.3916666666666666,0.2466609977324263,Ermedin Demirovic,8,436,0.4338768115942029,0.41538552225696346
122880,1. FC Köln,SV Werder Bremen,1,2,loss,0,0.536671566631907,0.3089517576109495,1.0,0.6294938917975568,0.2082406171191217,15,107,0.5095238095238095,0.2211145996860282,Davie Selke,12,548,0.37050610820244323,0.48087585674775346
122880,SV Werder Bremen,1. FC Köln,2,1,win,3,0.6360212447279707,0.3054420988311414,0.9826589595375724,0.6781069364161849,0.5778769841269842,16,108,0.45,0.2227664399092971,Jens Stage,29,492,0.3218930635838151,0.5044574472502344
122881,1. FC Heidenheim 1846,Bayer 04 Leverkusen,1,4,loss,0,0.4923949998738452,0.3188845139048426,0.9386973180076628,0.6757662835249042,0.036231884057971,16,115,0.4791666666666667,0.1219160997732426,Florian Pick,2,384,0.3242337164750958,0.4463748323313985
