match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes
122864,RasenBallsport Leipzig,1. FC Union Berlin,3,0,win,3,0.5325989948033113,0.3326734097788182,1.0,0.5780117753623188,0.21971079407210795,16,137,0.5708333333333333,0.1865079365079365,Dani Olmo,18,675
122865,Bayer 04 Leverkusen,FC Bayern München,2,2,draw,1,0.6082684598572318,0.46251640316352577,1.0,0.7240867240867241,0.24647071217867675,13,113,0.7243589743589743,0.2707070707070707,Jeremie Frimpong,17,643
122865,FC Bayern München,Bayer 04 Leverkusen,2,2,draw,1,0.5529517164336052,0.32561287497941294,1.0,0.5905131826741996,0.2956808080808081,16,125,0.5208333333333334,0.20166666666666672,Konrad Laimer,16,651
122866,FC Augsburg,RasenBallsport Leipzig,0,3,loss,0,0.5051292067467147,0.30955058158612275,0.7826747720364742,0.7144756838905775,0.2138157894736842,16,114,0.475,0.2726654298082869,Elvis Rexhbecaj,16,430
122866,RasenBallsport Leipzig,FC Augsburg,3,0,win,3,0.5590061032162706,0.2963212202243898,1.0,0.5936079545454546,0.34609523809523807,16,125,0.5208333333333334,0.18129251700680274,Fábio Carvalho,15,540
122867,Borussia Dortmund,SC Freiburg,4,2,win,3,0.5234038348592874,0.30416070623251645,0.7027027027027027,0.6224662162162162,0.46428571428571425,16,126,0.525,0.1627958152958153,Sébastien Haller,18,467
122867,SC Freiburg,Borussia Dortmund,2,4,loss,0,0.5008161176228865,0.3136746621517375,0.8402777777777779,0.6046296296296296,0.24468240093240096,15,104,0.49523809523809526,0.16877289377289378,Noah Atubolu,16,463
122868,1. FC Union Berlin,VfL Wolfsburg,1,2,loss,0,0.4681608136757173,0.28708694656941564,0.7080610021786492,0.5385348583877996,0.33896044756700494,16,122,0.5083333333333333,0.2931292517006803,Alex Král,23,600
122868,VfL Wolfsburg,1. FC Union Berlin,2,1,win,3,0.4946764561480557,0.27647441119353,1.0,0.5649181547619048,0.13731325863678806,16,102,0.425,0.1790079365079365,Koen Casteels,10,478
122869,1. FSV Mainz 05,VfB Stuttgart,1,3,loss,0,0.5925069264533219,0.3054443724799543,0.954861111111111,0.6486111111111111,0.4611111111111111,15,105,0.5,0.16047226582940866,Ludovic Ajorque,20,431
122869,VfB Stuttgart,1. FSV Mainz 05,3,1,win,3,0.5685924322666127,0.34951251376805914,1.0,0.6407781407781408,0.284079074520251,14,102,0.5604395604395604,0.33920940170940167,Serhou Guirassy,16,630
122870,TSG 1899 Hoffenheim,1. FC Köln,3,1,win,3,0.5621334757893053,0.289892075277275,0.949367088607595,0.7246835443037974,0.28459119496855345,16,106,0.44166666666666665,0.2995238095238095,Pavel Kaderabek,12,385
122870,1. FC Köln,TSG 1899 Hoffenheim,1,3,loss,0,0.6110413969772222,0.3660560889009524,1.0,0.7170138888888888,0.3610956101190476,16,128,0.5333333333333333,0.38055555555555554,Davie Selke,22,500
122871,VfL Bochum,Eintracht Frankfurt,1,1,draw,1,0.5796876121196558,0.36527947511681585,0.9070121951219512,0.6760670731707317,0.3703917050691244,16,124,0.5166666666666667,0.17270975056689344,Philipp Förster,25,504
122871,Eintracht Frankfurt,VfL Bochum,1,1,draw,1,0.5093556034186831,0.33843521365616497,0.8832335329341318,0.6723428143712575,0.1434108527131783,16,129,0.5375,0.14514433978719693,Farès Chaïbi,8,542
122872,SV Werder Bremen,1. FC Heidenheim 1846,2,4,loss,0,0.5173284927327358,0.3413277438989148,0.7800982800982802,0.703931203931204,0.2439567430025445,16,131,0.5458333333333333,0.20523809523809527,Nick Woltemade,13,562
122872,1. FC Heidenheim 1846,SV Werder Bremen,4,2,win,3,0.5085489813289802,0.27472171896671427,0.763888888888889,0.6812996031746033,0.3142857142857143,16,105,0.4375,0.15670068027210887,Jonas Föhrenbach,15,393
122873,Borussia Mönchengladbach,SV Darmstadt 98,3,3,draw,1,0.5292784920151438,0.3610180164223441,0.7481060606060607,0.6603929924242424,0.347596898607928,16,136,0.5666666666666667,0.3239229024943311,Rocco Reitz,32,615
122873,SV Darmstadt 98,Borussia Mönchengladbach,3,3,draw,1,0.5725343995456109,0.26307336075209914,1.0,0.62939453125,0.3976697061803446,16,94,0.39166666666666666,0.15210884353741497,Marcel Schuhen,18,370
122874,SV Darmstadt 98,VfB Stuttgart,0,3,loss,0,0.5354202818580873,0.33198497900999785,1.0,0.6282445355191257,0.1814516129032258,16,124,0.5166666666666667,0.2213756613756614,Fabian Schnellhardt,5,501
122874,VfB Stuttgart,SV Darmstadt 98,3,0,win,3,0.5798991760970644,0.32754003155314265,1.0,0.5802223154362416,0.41183435739887353,16,124,0.5166666666666667,0.21087301587301588,Chris Führich,30,687
122875,FC Bayern München,VfL Bochum,7,0,win,3,0.5817369887146671,0.35603470347096416,1.0,0.6737012987012987,0.29721195268640527,16,137,0.5708333333333333,0.23230158730158731,Dayot Upamecano,35,622
122875,VfL Bochum,FC Bayern München,0,7,loss,0,0.3570186961291808,0.30940541041256625,0.4212454212454213,0.6213369963369964,0.07608695652173914,16,115,0.4791666666666667,0.11083900226757372,Manuel Riemann,3,388
